site	noSpecies	depth	temperature	pH
1	2	0.9	6.6	8.19
2	5	2.2	6	8.4
3	6	26	6.3	7.99
4	3	1.3	6.5	6.78
5	6	1.4	5.2	7.05
6	8	1.5	8	6.62
7	10	5.1	7.6	6.53
8	7	11.5	8.3	6.61
9	3	6.8	7.5	5.57
10	7	6.7	4.7	6.06
11	6	12.5	2.7	6.35
12	9	5.1	3.6	5.85
13	10	2.1	4	6.06
14	3	2	3.9	7.6
15	9	6.7	8.5	8.05
16	5	2.6	8	7.92
17	10	1.2	7.6	7.66
18	7	1.3	9.5	8.17
19	6	10.5	8.2	8.11
20	11	2.5	8.6	7.07
21	3	0.5	5	6.86
22	4	29	4.1	6.2
23	1	15	0.3	6.5
24	25	5	12	7.01
25	26	7	12.2	7.5
26	27	12.5	15	6.54
27	13	3.5	9.1	5.82
28	21	3.7	15	6.13
29	23	2.1	13	6.73
30	29	14.5	15	6.9
31	20	2.6	11.5	6.27
32	43	15.5	13	5.91
33	32	6.5	13	6.33
34	30	26	13	6.46
35	33	12	16	5.9
36	26	8.5	16	5.95
37	34	13.5	16	6.02
38	35	13	17	6.03
39	21	9.5	16	5.31
40	31	14.5	13.5	6.18
41	29	8.5	16	5.56
42	41	11.5	19.6	5.87
43	32	6.6	12	6.43
44	24	12.5	10	5.47
45	20	9	16.5	5.71
46	36	6.1	16.3	6.15
47	29	15	12.8	6.86
48	22	19.5	11.8	5.7
49	24	6.5	12	5.74
50	36	6.2	13.8	5.3
51	27	18.5	13.2	6.16
52	29	7.8	14.3	6.18
53	32	18	12.4	5.23
54	25	5	12.6	6.23
55	22	16	21.5	5.61
56	30	7.5	16.4	6.23
57	33	13.5	18.8	6.61
58	37	15	16.7	6.46
59	29	10.2	17.7	6.01
60	42	13	18.3	6.01
61	26	8.1	16	6.15
62	31	10.5	15.5	6.96
63	21	8.2	15	5.55
64	37	11.5	17	6.4
65	21	18.5	18	5.67
66	32	12	17.5	6.17
67	12	15.5	10	5.42
68	20	2.4	12.5	6.7
69	37	2.5	22	5.83
70	41	9.5	22	5.18
71	33	10	22	5.18
72	25	3.3	20	5.13
73	41	5.5	19	6.34
74	35	9.5	19.5	5.48
75	36	6.3	20.5	5.78
76	24	7	22	4.98
77	43	17	20	6.45
78	33	5.2	20.5	6.97
79	32	11	22	6.47
80	37	7.8	23	7.19
81	27	17	20	6.43
82	41	10.5	20	6.04
83	35	8.7	20	6.09
84	26	12	19.5	6.47
85	27	19.5	19.5	6.41
86	33	10	22	5.99
87	29	10	22	6.14
88	18	3	9.2	6.27
89	16	12.5	8.9	6.15
90	25	4.8	8	6.22
91	19	13.5	8	5.74
92	15	10.5	7.5	6.4
93	12	15	6.5	6.01
94	30	18	7.5	5.88
95	14	11	6	5.79
96	13	16	5	5.69
97	25	14	7	5.76
98	21	4	10	7.52
99	30	8.5	10	6.71
100	15	2	7.7	7.53
101	22	1.6	8	7.22
102	31	6	9	7.17
103	20	1.1	8.5	7.57
104	26	2.8	9.1	7.41
105	26	12.5	8.9	6.89
106	15	13	6	6.38
107	19	4.5	8	6.15
108	20	3	8	6.62
109	17	1.9	9	6.64
110	32	6.5	9.8	6.41
111	18	12.2	5	6.96
112	26	6.8	14.8	7.53
113	32	2	10.5	6.68
114	21	4.5	13	6.61
115	25	1.1	10.5	7.25
116	25	6.5	11	7.81
117	34	4.6	12.5	6.37
118	30	9.7	12.2	6.82
119	28	1.5	12	6.82
120	31	2.3	12.2	5.78
121	24	8.7	12.5	6.58
122	31	16	11	7.27
123	22	0.6	7.5	6.89
124	15	10.5	11	6.38
125	20	1.5	7.5	7
126	21	1.3	7.5	6.34
127	30	18	11	6.71
128	20	1	9	5.41
129	25	0.9	12.5	5.95
130	29	0.6	11.8	5.35
131	19	10	11.2	6.61
132	17	2.3	11.4	6.7
133	20	0.5	9.8	5.38
134	12	5.2	4.5	6.34
135	17	2.5	11	6.66
136	13	5.7	10.5	6.61
137	30	12	15.5	4.66
138	32	11.5	15	5.84
139	31	7.5	20	6.63
140	34	3	20	6.34
141	43	3.2	16.3	5.91
142	37	4.7	17	6.4
143	26	18	18	6.56
144	29	18.5	19	5.3
145	34	6	18	6.72
146	36	14	17	6.16
147	37	8.5	18.5	6.66
148	26	4.7	18	7.15
149	28	2	12.8	6.04
150	17	2	12.5	6.62
151	18	3.6	12.5	6.38
152	26	1.6	12	5.99
153	17	1.3	11.8	6.36
154	24	1.3	12.3	6.68
155	28	1	9.8	5.8
156	28	9	12	5.89
157	23	21	9.5	6.78
